Timestamp,Temperature (C),Humidity (%),Pressure (hPa)
2024-07-09 11:46:49.425184,28.58,76.8,955.06
2024-07-09 11:46:50.432943,28.48,75.99,955.06
2024-07-09 11:46:51.432778,28.48,75.58,955.02
2024-07-09 11:46:52.437043,28.52,76.8,955.04
2024-07-09 11:46:53.431180,28.38,74.76,955.03
2024-07-09 11:46:54.435361,28.44,75.11,955.02
2024-07-09 11:46:55.440312,28.5,76.6,955.04
2024-07-09 11:46:56.442316,28.27,71.77,955.0
2024-07-09 11:46:57.446746,28.28,71.11,955.03
2024-07-09 11:46:58.451160,28.66,75.81,955.06
2024-07-09 11:46:59.448193,28.36,74.38,955.09
2024-07-09 11:47:00.456597,28.25,70.08,955.03
2024-07-09 11:47:01.454262,28.56,74.42,955.03
2024-07-09 11:47:02.461306,28.62,76.17,955.06
2024-07-09 11:47:03.456035,28.3,71.74,955.02
2024-07-09 11:47:04.464654,28.59,75.02,955.04
2024-07-09 11:47:05.460231,28.53,74.99,955.11
2024-07-09 11:47:06.465659,28.35,71.79,954.99
2024-07-09 11:47:07.467665,28.57,75.15,955.03
2024-07-09 11:47:08.477111,28.58,76.03,955.05
2024-07-09 11:47:09.471404,28.37,72.57,955.01
2024-07-09 11:47:10.479058,28.61,75.53,955.03
2024-07-09 11:47:11.475891,28.35,72.22,954.99
2024-07-09 11:47:12.479335,28.52,74.04,955.05
2024-07-09 11:47:13.485217,28.59,75.24,955.07
2024-07-09 11:47:14.485296,28.43,73.46,955.01
2024-07-09 11:47:15.490081,28.57,75.31,955.04
2024-07-09 11:47:16.490490,28.58,75.99,955.03
2024-07-09 11:47:17.496184,28.44,73.45,955.04
2024-07-09 11:47:18.493875,28.57,75.13,955.04
2024-07-09 11:47:19.495944,28.61,75.89,955.02
2024-07-09 11:47:20.505708,28.6,76.41,955.05
2024-07-09 11:47:21.505735,28.49,74.74,955.03
2024-07-09 11:47:22.503414,28.54,74.97,955.03
2024-07-09 11:47:23.507943,28.56,75.8,955.06
2024-07-09 11:47:24.515427,28.48,74.38,955.06
2024-07-09 11:47:25.508762,28.51,74.28,955.03
2024-07-09 11:47:26.515946,28.5,74.2,955.02
2024-07-09 11:47:27.517485,28.39,71.53,955.0
2024-07-09 11:47:28.519613,28.65,75.41,955.06
2024-07-09 11:47:29.523979,28.63,76.1,955.04
2024-07-09 11:47:30.530159,28.46,74.77,955.01
2024-07-09 11:47:31.528634,28.6,75.85,955.04
2024-07-09 11:47:32.534827,28.34,70.05,954.99
2024-07-09 11:47:33.533921,28.62,74.13,955.02
2024-07-09 11:47:34.536248,28.63,74.93,955.07
2024-07-09 11:47:35.538101,28.36,70.0,955.01
2024-07-09 11:47:36.541484,28.63,74.07,955.02
2024-07-09 11:47:37.540033,28.71,75.97,955.04
2024-07-09 11:47:38.545245,28.41,71.85,955.02
2024-07-09 11:47:39.544704,28.62,73.93,955.01
2024-07-09 11:47:40.553904,28.71,75.46,955.03
2024-07-09 11:47:41.553838,28.46,71.53,955.02
2024-07-09 11:47:42.554880,28.48,70.37,955.02
